ID,NAME,DEMAND
26,Alachua,0
27,Baker,0
28,Bay,0
29,Bradford,0
30,Brevard,0
31,Broward,0
32,Calhoun,0
33,Charlotte,0
34,Citrus,0
35,Clay,0
36,Collier,0
37,Columbia,0
38,DeSoto,0
39,Dixie,0
40,Duval,0
41,Escambia,0
42,Flagler,0
43,Franklin,0
44,Gadsden,0
45,Gilchrist,0
46,Glades,0
47,Gulf,0
48,Hamilton,0
49,Hardee,0
50,Hendry,0
51,Hernando,0
52,Highlands,0
53,Hillsborough,0
54,Holmes,0
55,Indian River,0
56,Jackson,0
57,Jefferson,0
58,Lafayette,0
59,Lake,0
60,Lee,0
61,Leon,0
62,Levy,0
63,Liberty,0
64,Madison,0
65,Manatee,0
66,Marion,0
67,Martin,0
68,Miami-Dade,0
69,Monroe,0
70,Nassau,0
71,Okaloosa,0
72,Okeechobee,0
73,Orange,0
74,Osceola,0
75,Palm Beach,0
76,Pasco,0
77,Pinellas,0
78,Polk,0
79,Putnam,0
80,Santa Rosa,0
81,Sarasota,0
82,Seminole,0
83,St. Johns,0
84,St. Lucie,0
85,Sumter,0
86,Suwannee,0
87,Taylor,0
88,Union,0
89,Volusia,0
90,Wakulla,0
91,Walton,0
92,Washington,0
