ID,NAME,DEMAND
26,Alachua,397352.41540000006
27,Baker,40323.41924
28,Bay,250019.75380000003
29,Bradford,40386.20384
30,Brevard,865588.6616000001
31,Broward,2774473.558
32,Calhoun,19474.646154
33,Charlotte,266616.2962
34,Citrus,219522.127
35,Clay,311418.827
36,Collier,536169.2000000001
37,Columbia,99453.68462000001
38,DeSoto,48481.13846
39,Dixie,23913.80384
40,Duval,1420597.527
41,Escambia,459333.67300000007
42,Flagler,164635.53076
43,Franklin,17766.61923
44,Gadsden,62536.33076
45,Gilchrist,25490.55384
46,Glades,17302.86923
47,Gulf,20250.892300000003
48,Hamilton,19982.630770000003
49,Hardee,36139.68076
50,Hendry,56533.26538
51,Hernando,277557.9424
52,Highlands,144454.5577
53,Hillsborough,2082968.084
54,Holmes,28043.31924
55,Indian River,228005.1846
56,Jackson,67520.57308
57,Jefferson,20704.65384
58,Lafayette,11737.86923
59,Lake,547875.677
60,Lee,1085634.4692
61,Leon,416944.0692
62,Levy,61236.40384
63,Liberty,11378.284616
64,Madison,25638.953840000002
65,Manatee,570355.4230000001
66,Marion,536391.8
67,Martin,226068.85
68,Miami-Dade,3855213.6799999997
69,Monroe,118254.82308
70,Nassau,128925.35384
71,Okaloosa,302033.9538
72,Okeechobee,56568.938460000005
73,Orange,2040368.724
74,Osceola,554582.2154
75,Palm Beach,2129241.7739999997
76,Pasco,801775.2346000001
77,Pinellas,1368571.9116000002
78,Polk,1034584.8692000001
79,Putnam,104623.42692
80,Santa Rosa,268261.5384
81,Sarasota,619293.177
82,Seminole,671875.2924
83,St. Johns,390156.44240000006
84,St. Lucie,469780.17699999997
85,Sumter,185146.12308000002
86,Suwannee,61578.86538
87,Taylor,31348.073080000002
88,Union,22870.72308
89,Volusia,789833.3154000001
90,Wakulla,49385.807700000005
91,Walton,107134.81154000001
92,Washington,36250.98076
