DemanderID,Name,DemandAmount
26,Alachua,1986762
27,Baker,201617
28,Bay,1250098
29,Bradford,201931
30,Brevard,4327943
31,Broward,12276388
32,Calhoun,97373
33,Charlotte,1333081
34,Citrus,1097610
35,Clay,-9580813
36,Collier,2680846
37,Columbia,497268
38,DeSoto,242405
39,Dixie,119569
40,Duval,4386425
41,Escambia,2296668
42,Flagler,823177
43,Franklin,88833
44,Gadsden,312681
45,Gilchrist,-3794585
46,Glades,86514
47,Gulf,101254
48,Hamilton,99913
49,Hardee,180698
50,Hendry,282666
51,Hernando,1387789
52,Highlands,722272
53,Hillsborough,7283154
54,Holmes,140216
55,Indian River,1140025
56,Jackson,-3949473
57,Jefferson,103523
58,Lafayette,58689
59,Lake,-1465351
60,Lee,5428172
61,Leon,1905937
62,Levy,306182
63,Liberty,56891
64,Madison,-3077350
65,Manatee,2851777
66,Marion,-1995621
67,Martin,-1586218
68,Miami-Dade,18012867
69,Monroe,591274
70,Nassau,644626
71,Okaloosa,1510169
72,Okeechobee,282844
73,Orange,8928455
74,Osceola,2772911
75,Palm Beach,10646208
76,Pasco,4008876
77,Pinellas,6673074
78,Polk,-8538925
79,Putnam,332958
80,Santa Rosa,1341307
81,Sarasota,2937292
82,Seminole,3359376
83,St. Johns,1950782
84,St. Lucie,2348900
85,Sumter,925730
86,Suwannee,307894
87,Taylor,156740
88,Union,114353
89,Volusia,3949166
90,Wakulla,246929
91,Walton,535674
92,Washington,181254
