SupplierID,DemanderID,SupplyAmount
0,53,10414840.0
1,59,2739378.0
2,81,3096465.0
3,40,7102987.0
4,59,2609492.346153846
4,85,925730.0
4,73,10201843.0
5,66,2681959.0
5,26,1986762.0
6,64,128194.0
6,86,307894.0
6,48,99913.0
6,57,103523.0
6,58,58689.0
6,37,497268.0
6,87,156740.0
6,61,2084720.0
7,45,127452.0
7,26,186392.51923076902
7,88,114353.0
7,29,201931.0
7,62,306182.0
7,39,119569.0
7,27,201617.0
7,79,523117.0
7,35,1557094.0
7,40,4386424.288461538
8,56,337602.0
8,32,97373.0
8,92,181254.0
8,54,140216.0
8,44,312681.0
8,28,1250098.0
8,63,56891.0
8,61,231397.0
8,91,535674.0
8,47,101254.0
8,90,246929.0
8,43,88833.0
8,71,1510169.0
9,83,1950782.0
10,73,9662221.269230768
11,67,1130344.0
11,75,10646208.0
12,78,5172924.0
13,34,1097610.0
14,31,13872367.0
15,68,19276068.0
16,71,1015526.923076923
17,77,6842859.0
18,53,8716988.307692308
19,53,7589614.788461539
20,40,3802094.3846153836
20,83,1760622.6153846155
20,70,644626.0
20,42,823177.0
20,89,3949166.0
20,34,902357.0576923077
21,31,13125312.25
22,73,9407543.519230768
23,71,836743.1346153845
24,78,4290041.115384615
24,53,7326447.76923077
24,49,180698.0
24,73,8388832.499999998
25,76,4008876.0
