SupplierID,Supplier Latitude,Supplier Longitude,DemanderID,Demander Latitude,Demander Longitude,Supply Amount / Demand
0.0,28.221232,-82.17025,53.0,27.9904,-82.3018,10414840.0
1.0,28.837288,-81.899097,59.0,28.7028,-81.7787,2739378.0
2.0,27.461163,-82.540418,81.0,27.3364,-82.5307,3096465.0
3.0,30.262235,-81.605391,40.0,30.3322,-81.6557,7102987.0
4.0,28.638841,-81.827372,59.0,28.7028,-81.7787,2609492.346153846
4.0,28.638841,-81.827372,85.0,28.6744,-82.0373,925730.0
4.0,28.638841,-81.827372,73.0,28.5383,-81.3792,10201843.0
5.0,29.232575,-82.165401,66.0,29.278,-82.1278,2681959.0
5.0,29.232575,-82.165401,26.0,29.6516,-82.3248,1986762.0
6.0,30.47227,-83.250769,64.0,30.4586,-83.507,128194.0
6.0,30.47227,-83.250769,86.0,30.3869,-82.9981,307894.0
6.0,30.47227,-83.250769,48.0,30.4759,-82.9502,99913.0
6.0,30.47227,-83.250769,57.0,30.4312,-83.8897,103523.0
6.0,30.47227,-83.250769,58.0,29.9822,-83.1712,58689.0
6.0,30.47227,-83.250769,37.0,30.1813,-82.6051,497268.0
6.0,30.47227,-83.250769,87.0,29.9504,-83.5838,156740.0
6.0,30.47227,-83.250769,61.0,30.4383,-84.2807,2084720.0
7.0,29.818485,-82.690568,45.0,29.754,-82.8208,127452.0
7.0,29.818485,-82.690568,26.0,29.6516,-82.3248,186392.51923076904
7.0,29.818485,-82.690568,88.0,30.03,-82.37,114353.0
7.0,29.818485,-82.690568,29.0,29.9443,-82.1714,201931.0
7.0,29.818485,-82.690568,62.0,29.317,-82.8208,306182.0
7.0,29.818485,-82.690568,39.0,29.5203,-83.1649,119569.0
7.0,29.818485,-82.690568,27.0,30.3931,-82.3018,201617.0
7.0,29.818485,-82.690568,79.0,29.6111,-81.9516,523117.0
7.0,29.818485,-82.690568,35.0,29.9944,-81.7787,1557094.0
7.0,29.818485,-82.690568,40.0,30.3322,-81.6557,4386424.288461538
8.0,30.820875,-85.177508,56.0,30.7151,-85.1894,337602.0
8.0,30.820875,-85.177508,32.0,30.3475,-85.1894,97373.0
8.0,30.820875,-85.177508,92.0,30.6084,-85.6659,181254.0
8.0,30.820875,-85.177508,54.0,30.8741,-85.8077,140216.0
8.0,30.820875,-85.177508,44.0,30.5563,-84.6479,312681.0
8.0,30.820875,-85.177508,28.0,30.1805,-85.6846,1250098.0
8.0,30.820875,-85.177508,63.0,30.1508,-84.8568,56891.0
8.0,30.820875,-85.177508,61.0,30.4383,-84.2807,231397.0
8.0,30.820875,-85.177508,91.0,30.5643,-86.1752,535674.0
8.0,30.820875,-85.177508,47.0,29.8002,-85.354,101254.0
8.0,30.820875,-85.177508,90.0,30.1933,-84.3493,246929.0
8.0,30.820875,-85.177508,43.0,29.7812,-84.8568,88833.0
8.0,30.820875,-85.177508,71.0,30.5773,-86.6611,1510169.0
9.0,29.508083,-81.94456,83.0,29.971,-81.5075,1950782.0
10.0,28.616443,-81.435409,73.0,28.5383,-81.3792,9662221.269230768
11.0,26.904652,-80.28413,67.0,27.0805,-80.4104,1130344.0
11.0,26.904652,-80.28413,75.0,26.7153,-80.0534,10646208.0
12.0,27.958677,-81.785651,78.0,27.8617,-81.6912,5172924.0
13.0,29.183999,-82.217887,34.0,28.8468,-82.4816,1097610.0
14.0,26.191601,-80.198962,31.0,26.1901,-80.3659,13872367.0
15.0,25.872969,-80.361298,68.0,25.7617,-80.1918,19276068.0
16.0,30.521513,-84.370027,71.0,30.5773,-86.6611,1015526.923076923
17.0,27.865073,-82.706014,77.0,27.8764,-82.7779,6842859.0
18.0,28.039732,-82.054073,53.0,27.9904,-82.3018,8716988.307692308
19.0,28.007697,-82.531409,53.0,27.9904,-82.3018,7589614.788461539
20.0,30.1345513,-81.82616151,40.0,30.3322,-81.6557,3802094.384615384
20.0,30.1345513,-81.82616151,83.0,29.971,-81.5075,1760622.6153846155
20.0,30.1345513,-81.82616151,70.0,30.5927,-81.8224,644626.0
20.0,30.1345513,-81.82616151,42.0,29.4086,-81.2519,823177.0
20.0,30.1345513,-81.82616151,89.0,29.0286,-81.0744,3949166.0
20.0,30.1345513,-81.82616151,34.0,28.8468,-82.4816,902357.0576923076
21.0,26.190986,-80.198982,31.0,26.1901,-80.3659,13125312.25
22.0,28.582968,-81.412023,73.0,28.5383,-81.3792,9407543.519230768
23.0,30.887564,-85.335709,71.0,30.5773,-86.6611,836743.1346153845
24.0,28.054131,-81.78555,78.0,27.8617,-81.6912,4290041.115384615
24.0,28.054131,-81.78555,53.0,27.9904,-82.3018,7326447.76923077
24.0,28.054131,-81.78555,49.0,27.4756,-81.821,180698.0
24.0,28.054131,-81.78555,73.0,28.5383,-81.3792,8388832.499999998
25.0,28.027583,-82.357688,76.0,28.3232,-82.4319,4008876.0
