ID,Name,Lat,Lon
0,Zephyrhills Bottled Water Delivery,28.221232,-82.17025
1,Azure Water,28.837288,-81.899097
2,Water Boy Inc-Samoset,27.461163,-82.540418
3,Pepsi Bottling Group Duval County,30.262235,-81.605391
4,Niagara Bottling-Groveland,28.638841,-81.827372
5,Silver Springs Bottled Water Company,29.232575,-82.165401
6,BlueTriton Madison,30.47227,-83.250769
7,Seven Springs Water Company,29.818485,-82.690568
8,Ice River Springs,30.820875,-85.177508
9,Orange Springs Specialty Water,29.508083,-81.94456
10,Livie Water,28.616443,-81.435409
11,Niagara Bottling LLC-Jupiter,26.904652,-80.28413
12,"Clear Springs Packing, LLC",27.958677,-81.785651
13,Crystal Springs Water-ocala,29.183999,-82.217887
14,Crystal Springs Water-fort lauderdale,26.191601,-80.198962
15,Water Boy Inc-medley,25.872969,-80.361298
16,Crystal Springs Water-tallahassee,30.521513,-84.370027
17,Crystal Springs Water-pinellas park,27.865073,-82.706014
18,Crystal Springs Water-lakeland,28.039732,-82.054073
19,Crystal Springs Water-tampa,28.007697,-82.531409
20,Niagara Bottling LLC-Middleburg,30.1345513,-81.82616151
21,DS Services Of America Inc,26.190986,-80.198982
22,CG Roxane LLC,28.582968,-81.412023
23,Proud Source Water Inc.,30.887564,-85.335709
24,Coca Cola North America,28.054131,-81.78555
25,M & B Products Inc,28.027583,-82.357688
26,Alachua,29.6516,-82.3248
27,Baker,30.3931,-82.3018
28,Bay,30.1805,-85.6846
29,Bradford,29.9443,-82.1714
30,Brevard,28.2639,-80.7214
31,Broward,26.1901,-80.3659
32,Calhoun,30.3475,-85.1894
33,Charlotte,26.8946,-81.9098
34,Citrus,28.8468,-82.4816
35,Clay,29.9944,-81.7787
36,Collier,26.07,-81.4279
37,Columbia,30.1813,-82.6051
38,DeSoto,27.1962,-81.809
39,Dixie,29.5203,-83.1649
40,Duval,30.3322,-81.6557
41,Escambia,30.6389,-87.3414
42,Flagler,29.4086,-81.2519
43,Franklin,29.7812,-84.8568
44,Gadsden,30.5563,-84.6479
45,Gilchrist,29.754,-82.8208
46,Glades,26.984,-81.0755
47,Gulf,29.8002,-85.354
48,Hamilton,30.4759,-82.9502
49,Hardee,27.4756,-81.821
50,Hendry,26.6113,-81.0755
51,Hernando,28.5579,-82.4753
52,Highlands,27.34,-81.34
53,Hillsborough,27.9904,-82.3018
54,Holmes,30.8741,-85.8077
55,Indian River,27.6948,-80.5438
56,Jackson,30.7151,-85.1894
57,Jefferson,30.4312,-83.8897
58,Lafayette,29.9822,-83.1712
59,Lake,28.7028,-81.7787
60,Lee,26.663,-81.9535
61,Leon,30.4383,-84.2807
62,Levy,29.317,-82.8208
63,Liberty,30.1508,-84.8568
64,Madison,30.4586,-83.507
65,Manatee,27.4799,-82.3452
66,Marion,29.278,-82.1278
67,Martin,27.0805,-80.4104
68,Miami-Dade,25.7617,-80.1918
69,Monroe,24.5557,-81.7826
70,Nassau,30.5927,-81.8224
71,Okaloosa,30.5773,-86.6611
72,Okeechobee,27.2439,-80.8298
73,Orange,28.5383,-81.3792
74,Osceola,28.101,-81.0755
75,Palm Beach,26.7153,-80.0534
76,Pasco,28.3232,-82.4319
77,Pinellas,27.8764,-82.7779
78,Polk,27.8617,-81.6912
79,Putnam,29.6111,-81.9516
80,Santa Rosa,30.769,-86.9824
81,Sarasota,27.3364,-82.5307
82,Seminole,28.698,-81.3397
83,St. Johns,29.971,-81.5075
84,St. Lucie,27.273,-80.3582
85,Sumter,28.6744,-82.0373
86,Suwannee,30.3869,-82.9981
87,Taylor,29.9504,-83.5838
88,Union,30.03,-82.37
89,Volusia,29.0286,-81.0744
90,Wakulla,30.1933,-84.3493
91,Walton,30.5643,-86.1752
92,Washington,30.6084,-85.6659
