SupplierID,DemanderID,SupplyAmount,Distance
22,73,1018711,4.9
17,77,169785,7.2
10,73,254677,9.3
2,81,159173,9.5
14,31,747054,11.6
21,31,848925,11.6
0,76,1697851,22.8
15,68,1263201,23.3
11,75,2716562,23.6
19,77,263167,24.5
25,76,43295,29.9
13,34,195252,32.1
4,73,4074844,32.9
5,34,122777,36.8
24,73,735436,46.4
18,76,1127373,48.3
1,82,129885,52.0
12,38,242405,58.2
24,82,3229491,60.7
12,65,640477,66.5
24,76,1097062,70.0
24,77,6070337,71.8
24,52,722272,71.9
24,74,974369,72.0
5,51,1387789,73.1
5,89,426110,79.2
23,71,212231,103.0
8,71,412282,106.0
8,80,1341307,118.0
5,74,1798542,120.0
5,30,747110,132.0
8,41,2296668,147.0
9,30,190159,152.0
3,30,2716562,153.0
20,30,674112,167.0
7,65,2211300,202.0
7,81,1710737,206.0
20,55,1140025,218.0
20,81,908209,225.0
20,84,2348900,245.0
20,72,282844,255.0
20,33,1333081,273.0
20,46,86514,281.0
20,60,4364222,290.0
6,60,1063950,334.0
6,50,282666,353.0
6,75,1858928,359.0
16,75,178783,424.0
8,75,24587,482.0
