ID,NAME,SUPPLY
0,Zephyrhills Bottled Water Delivery,0
1,Azure Water,0
2,Water Boy Inc-Samoset,0
3,Pepsi Bottling Group Duval County,0
4,Niagara Bottling-Groveland,0
5,Silver Springs Bottled Water Company,0
6,BlueTriton Madison,0
7,Seven Springs Water Company,0
8,Ice River Springs,0
9,Orange Springs Specialty Water,0
10,Livie Water,0
11,Niagara Bottling LLC-Jupiter,0
12,"Clear Springs Packing, LLC",0
13,Crystal Springs Water-ocala,0
14,Crystal Springs Water-fort lauderdale,0
15,Water Boy Inc-medley,0
16,Crystal Springs Water-tallahassee,0
17,Crystal Springs Water-pinellas park,0
18,Crystal Springs Water-lakeland,0
19,Crystal Springs Water-tampa,0
20,Niagara Bottling LLC-Middleburg,0
21,DS Services Of America Inc,0
22,CG Roxane LLC,0
23,Proud Source Water Inc.,0
24,Coca Cola North America,0
25,M & B Products Inc,0
