0,Zephyrhills Bottled Water Delivery,88288288
1,Azure Water,6754054
2,Water Boy Inc-Samoset,8277027
3,Pepsi Bottling Group Duval County,141261261
4,Niagara Bottling-Groveland,211891892
5,Silver Springs Bottled Water Company,233081081
6,BlueTriton Madison,166688288
7,Seven Springs Water Company,203945946
8,Ice River Springs,211891892
9,Orange Springs Specialty Water,9888288
10,Livie Water,13243243
11,Niagara Bottling LLC-Jupiter,141261261
12,"Clear Springs Packing, LLC",45909910
13,Crystal Springs Water-ocala,10153153
14,Crystal Springs Water-fort lauderdale,38846847
15,Water Boy Inc-medley,65686486
16,Crystal Springs Water-tallahassee,9296757
17,Crystal Springs Water-pinellas park,8828829
18,Crystal Springs Water-lakeland,58623423
19,Crystal Springs Water-tampa,13684685
20,Niagara Bottling LLC-Middleburg,579171171
21,DS Services Of America Inc,44144144
22,CG Roxane LLC,52972973
23,Proud Source Water Inc.,11036036
24,Coca Cola North America,667106306
25,M & B Products Inc,2251351
