ID,County,Updated Demand
26,Alachua,1137836.2308461538
27,Baker,-647308.7499538462
28,Bay,401172.92284615384
29,Bradford,-646994.8269538463
30,Brevard,3479017.461846154
31,Broward,13023441.943846153
32,Calhoun,-751552.6153838462
33,Charlotte,484155.63484615367
34,Citrus,248684.78884615377
35,Clay,708168.2888461538
36,Collier,1831920.1538461538
37,Columbia,-351657.4230538462
38,DeSoto,-606520.1538538462
39,Dixie,-729356.8269538463
40,Duval,6254061.788846154
41,Escambia,1447742.518846154
42,Flagler,-25748.192353846272
43,Franklin,-760092.7500038462
44,Gadsden,-536244.1923538463
45,Gilchrist,-721473.0769538463
46,Glades,-762411.5000038462
47,Gulf,-747671.3846538463
48,Hamilton,-749012.6923038462
49,Hardee,-668227.4423538463
50,Hendry,-566259.5192538463
51,Hernando,538863.8658461538
52,Highlands,-126653.05765384622
53,Hillsborough,9565914.573846154
54,Holmes,-708709.2499538462
55,Indian River,291100.0768461537
56,Jackson,-511322.98075384623
57,Jefferson,-745402.5769538463
58,Lafayette,-790236.5000038462
59,Lake,1890452.5388461535
60,Lee,4579246.499846154
61,Leon,1235794.4998461537
62,Levy,-542743.8269538463
63,Liberty,-792034.4230738463
64,Madison,-720731.0769538463
65,Manatee,2002851.268846154
66,Marion,1833033.1538461538
67,Martin,281418.40384615376
68,Miami-Dade,18427142.55384615
69,Monroe,-257651.73075384623
70,Nassau,-204299.07695384626
71,Okaloosa,661243.9228461538
72,Okeechobee,-566081.1538538462
73,Orange,9352917.773846153
74,Osceola,1923985.2308461538
75,Palm Beach,9797283.023846153
76,Pasco,3159950.3268461535
77,Pinellas,5993933.711846154
78,Polk,4323998.499846154
79,Putnam,-325808.71155384625
80,Santa Rosa,492381.8458461538
81,Sarasota,2247540.0388461538
82,Seminole,2510450.6158461533
83,St. Johns,1101856.3658461538
84,St. Lucie,1499975.0388461535
85,Sumter,76804.76924615377
86,Suwannee,-541031.5192538463
87,Taylor,-692185.4807538462
88,Union,-734572.2307538462
89,Volusia,3100240.7308461536
90,Wakulla,-601996.8076538462
91,Walton,-313251.78845384624
92,Washington,-667670.9423538463
