ID,County,Demand Difference
26,Alachua,495149
27,Baker,40321
28,Bay,-689116
29,Bradford,80771
30,Brevard,-1731178
31,Broward,-9501915
32,Calhoun,-38950
33,Charlotte,-799849
34,Citrus,219521
35,Clay,311415
36,Collier,-2144677
37,Columbia,198904
38,DeSoto,-145444
39,Dixie,-3
40,Duval,1076506
41,Escambia,-1378001
42,Flagler,-164637
43,Franklin,-53300
44,Gadsden,-125074
45,Gilchrist,25488
46,Glades,-69211
47,Gulf,-60753
48,Hamilton,-2
49,Hardee,-108419
50,Hendry,-226133
51,Hernando,-4
52,Highlands,-433364
53,Hillsborough,-2734549
54,Holmes,-56088
55,Indian River,-684016
56,Jackson,-135042
57,Jefferson,-20706
58,Lafayette,-3
59,Lake,129883
60,Lee,-4342538
61,Leon,-238161
62,Levy,61234
63,Liberty,-34135
64,Madison,-25642
65,Manatee,-1711067
66,Marion,-255606
67,Martin,-678207
68,Miami-Dade,-14157653
69,Monroe,-473019
70,Nassau,-91536
71,Okaloosa,-906103
72,Okeechobee,-226276
73,Orange,-766983
74,Osceola,-1663747
75,Palm Beach,-6387726
76,Pasco,-669275
77,Pinellas,-3935932
78,Polk,-2220873
79,Putnam,-2
80,Santa Rosa,-804785
81,Sarasota,-2223327
82,Seminole,-671876
83,St. Johns,-390158
84,St. Lucie,-1517868
85,Sumter,-1
86,Suwannee,-3
87,Taylor,0
88,Union,45737
89,Volusia,-893069
90,Wakulla,-98773
91,Walton,-321405
92,Washington,-72504
