SupplierID,DemanderID,SupplyAmount
0,53,1697851
15,68,1263201
13,66,195252
2,81,159173
5,66,536391
5,26,397352
5,34,219522
5,79,104623
5,85,185146
5,62,61236
5,29,40386
5,59,547875
5,45,25490
5,35,311418
5,42,164635
5,88,22870
5,51,277557
5,37,99453
5,76,801775
5,89,686599
17,77,169785
19,53,263167
22,73,1018711
8,56,67520
8,32,19474
8,92,36250
8,54,28043
8,44,62536
8,28,250019
8,63,11378
8,61,416944
8,91,107134
8,47,20250
8,90,49385
8,43,17766
8,57,20704
8,71,302033
8,80,268261
8,64,25638
8,87,31348
8,41,459333
8,86,61578
8,48,19982
8,58,11737
8,37,99453
8,39,23913
8,88,22870
8,45,25490
8,27,40323
8,29,40386
8,62,61236
8,26,397352
8,40,1076508
3,40,1420597
3,83,390156
3,70,128925
3,35,311418
3,27,40323
3,29,40386
3,88,22870
3,37,99453
3,42,164635
3,26,97799
23,56,67520
23,54,28043
23,92,36250
23,32,19474
23,28,60944
12,78,882882
11,67,226068
11,75,2129241
11,84,361253
18,53,1127373
7,45,25490
7,26,397352
7,88,22870
7,37,99453
7,29,40386
7,62,61236
7,39,23913
7,58,11737
7,86,61578
7,27,40323
7,48,19982
7,66,536391
7,79,104623
7,35,311418
7,87,31348
7,34,219522
7,40,1420597
7,83,390156
7,70,103662
1,59,129885
20,35,311418
20,40,1420597
20,83,390156
20,29,40386
20,70,128925
20,88,22870
20,79,104623
20,27,40323
20,26,397352
20,37,99453
20,66,536391
20,45,25490
20,42,164635
20,48,19982
20,86,61578
20,62,61236
20,89,789833
20,34,219522
20,58,11737
20,85,185146
20,64,25638
20,39,23913
20,59,547875
20,82,671875
20,57,20704
20,87,31348
20,51,277557
20,73,2040368
20,76,801775
20,61,416944
20,30,865588
20,53,382669
25,53,43295
10,73,254677
4,59,547875
4,85,185146
4,73,2040368
4,82,671875
4,34,219522
4,51,277557
4,76,132501
14,31,747054
21,31,848925
6,64,25638
6,86,61578
6,48,19982
6,57,20704
6,58,11737
6,37,99453
6,87,31348
6,61,416944
6,88,22870
6,27,40323
6,29,40386
6,45,25490
6,39,23913
6,90,49385
6,44,62536
6,26,397352
6,62,61236
6,40,1420597
6,35,311418
6,70,62654
16,61,178783
24,78,1034584
24,53,2082968
24,49,36139
24,73,2040368
24,59,547875
24,85,185146
24,82,671875
24,38,48481
24,76,801775
24,52,144454
24,74,554582
24,77,1368571
24,65,570355
24,51,277557
24,30,865588
24,33,266616
24,34,219522
24,89,789833
24,55,228005
24,81,94673
9,79,104623
9,66,85536
