ID,County,Demand Fill
26,Alachua,-3.0
27,Baker,-3.0
28,Bay,-3.0
29,Bradford,-3.0
30,Brevard,-3.0
31,Broward,-3.0
32,Calhoun,-3.0
33,Charlotte,-3.0
34,Citrus,-3.0
35,Clay,-3.0
36,Collier,-3.0
37,Columbia,-3.0
38,DeSoto,-3.0
39,Dixie,-3.0
40,Duval,-3.0
41,Escambia,-3.0
42,Flagler,-3.0
43,Franklin,-3.0
44,Gadsden,-3.0
45,Gilchrist,-3.0
46,Glades,-3.0
47,Gulf,-3.0
48,Hamilton,-3.0
49,Hardee,-3.0
50,Hendry,-3.0
51,Hernando,-3.0
52,Highlands,-3.0
53,Hillsborough,-3.0
54,Holmes,-3.0
55,Indian River,-3.0
56,Jackson,-3.0
57,Jefferson,-3.0
58,Lafayette,-3.0
59,Lake,-3.0
60,Lee,-3.0
61,Leon,-3.0
62,Levy,-3.0
63,Liberty,-3.0
64,Madison,-3.0
65,Manatee,-3.0
66,Marion,-3.0
67,Martin,-3.0
68,Miami-Dade,-3.0
69,Monroe,-3.0
70,Nassau,-3.0
71,Okaloosa,-3.0
72,Okeechobee,-3.0
73,Orange,-3.0
74,Osceola,-3.0
75,Palm Beach,-3.0
76,Pasco,-3.0
77,Pinellas,-3.0
78,Polk,-3.0
79,Putnam,-3.0
80,Santa Rosa,-3.0
81,Sarasota,-3.0
82,Seminole,-3.0
83,St. Johns,-3.0
84,St. Lucie,-3.0
85,Sumter,-3.0
86,Suwannee,-3.0
87,Taylor,-3.0
88,Union,-3.0
89,Volusia,-3.0
90,Wakulla,-3.0
91,Walton,-3.0
92,Washington,-3.0
