ID,County,Updated Demand
26,Alachua,1103879.1923846155
27,Baker,-681265.7884153846
28,Bay,367215.88438461546
29,Bradford,-680951.8654153846
30,Brevard,3445060.4233846157
31,Broward,12989484.905384615
32,Calhoun,-785509.6538453846
33,Charlotte,450198.5963846153
34,Citrus,214727.75038461538
35,Clay,674211.2503846154
36,Collier,1797963.1153846155
37,Columbia,-385614.4615153846
38,DeSoto,-640477.1923153846
39,Dixie,-763313.8654153846
40,Duval,6220104.750384615
41,Escambia,1413785.4803846157
42,Flagler,-59705.23081538465
43,Franklin,-794049.7884653846
44,Gadsden,-570201.2308153847
45,Gilchrist,-755430.1154153846
46,Glades,-796368.5384653846
47,Gulf,-781628.4231153846
48,Hamilton,-782969.7307653846
49,Hardee,0.40380000000004657
50,Hendry,-600216.5577153846
51,Hernando,504906.82738461543
52,Highlands,-160610.0961153846
53,Hillsborough,10234142.42
54,Holmes,-742666.2884153846
55,Indian River,257143.03838461533
56,Jackson,-545280.0192153846
57,Jefferson,-779359.6154153846
58,Lafayette,-824193.5384653846
59,Lake,2558680.385
60,Lee,4545289.461384615
61,Leon,1201837.4613846154
62,Levy,-576700.8654153846
63,Liberty,-825991.4615353846
64,Madison,-754688.1154153846
65,Manatee,1968894.2303846157
66,Marion,1799076.1153846155
67,Martin,247461.36538461538
68,Miami-Dade,18393185.515384614
69,Monroe,-291608.7692153846
70,Nassau,-238256.11541538464
71,Okaloosa,627286.8843846155
72,Okeechobee,-600038.1923153846
73,Orange,9318960.735384615
74,Osceola,1890028.1923846155
75,Palm Beach,9763325.985384615
76,Pasco,3125993.2883846154
77,Pinellas,5959976.673384615
78,Polk,4418441.692153848
79,Putnam,-359765.75001538463
80,Santa Rosa,458424.8073846154
81,Sarasota,2213583.0003846153
82,Seminole,2476493.5773846153
83,St. Johns,1067899.3273846153
84,St. Lucie,1466018.0003846153
85,Sumter,42847.730784615385
86,Suwannee,-574988.5577153846
87,Taylor,-726142.5192153846
88,Union,-768529.2692153846
89,Volusia,3066283.6923846155
90,Wakulla,-635953.8461153846
91,Walton,-347208.8269153846
92,Washington,-701627.9808153847
