SupplierID,DemanderID,SupplyAmount
9,79,190159
14,31,747054
21,31,848925
15,68,1263201
12,78,882882
7,45,127452
7,26,1986762
7,88,114353
7,37,497268
7,29,201931
7,62,306182
7,39,119569
7,58,58689
7,86,307894
7,27,201617
7,48,320
5,66,2681959
5,34,1097610
5,79,332958
5,85,369801
23,56,212231
11,67,1130344
11,75,1586218
16,61,178783
20,35,1557094
20,40,7102987
20,83,1950782
20,70,527044
22,73,1018711
17,77,169785
0,53,1697851
19,53,263167
18,53,1127373
6,64,128194
6,48,99593
6,57,103523
6,87,156740
6,61,1905937
6,90,246929
6,44,312681
6,70,117582
6,63,56891
6,56,77474
4,59,2739378
4,85,555929
4,73,779537
13,51,195252
8,56,47897
8,32,97373
8,92,181254
8,54,140216
8,28,1250098
8,91,535674
8,47,101254
8,43,88833
8,71,1510169
8,80,122076
3,42,823177
3,89,1893385
1,73,129885
24,78,4290042
24,53,7326449
24,49,180698
24,73,1031778
10,73,254677
2,81,159173
25,76,43295
